Protocol,Name,Command,Package Name,Package AppName,Package App Description,IsMicrosoft
"microsoft.windows.photos.crop://","microsoft.windows.photos.crop","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe\Photos.exe","Microsoft.Windows.Photos","ms-resource:AppDisplayName","ms-resource:AppDescription",True
"Microsoft.Workfolders://","Microsoft Workfolders","C:\Windows\System32\control.exe /name Microsoft.WorkFolders","","","",True
"microsoft-edge://","microsoft-edge","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" ""%1""","","","",True
"microsoft-edge-holographic://","","","","","",True
"microsoftsolitairecollection://","microsoftsolitairecollection","C:\Program Files\WindowsApps\Microsoft.MicrosoftSolitaireCollection_4.20.9120.0_x64__8wekyb3d8bbwe\Solitaire.exe","Microsoft.MicrosoftSolitaireCollection","Solitaire & Casual Games","Solitaire & Casual Games",True
"microsoftvideo://","microsoftvideo","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.exe","Microsoft.WindowsStore","Microsoft Store","ms-resource:StoreDescription",True
"ms-aad-brokerplugin://","ms-aad-brokerplugin","C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\Microsoft.AAD.BrokerPlugin.exe","Microsoft.AAD.BrokerPlugin","ms-resource:PackageDisplayName","ms-resource:PackageDescription",True
"ms-access://","Access Protocol","C:\Program Files\Microsoft Office\Root\Office16\protocolhandler.exe ""%1""","","","",True
"ms-actioncenter://","ms-actioncenter","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","Microsoft.Windows.ShellExperienceHost","ms-resource:AppName/Text","ms-resource:AppDescription",True
"ms-appinstaller://","ms-appinstaller","C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.23.1911.0_x64__8wekyb3d8bbwe\AppInstaller.exe","Microsoft.DesktopAppInstaller","ms-resource:appDisplayName","ms-resource:appDescription",True
"ms-apprep://","ms-apprep","C:\Windows\SystemApps\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy\CHXSmartScreen.exe","Microsoft.Windows.Apprep.ChxApp","ms-resource:DisplayName","ms-resource:DisplayName",True
"ms-availablenetworks://","Available Networks Protocol","""C:\WINDOWS\system32\LaunchWinApp.exe"" ""%1""","","","",True
"ms-calculator://","ms-calculator","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2405.2.0_x64__8wekyb3d8bbwe\CalculatorApp.exe","Microsoft.WindowsCalculator","ms-resource:AppName","ms-resource:AppDescription",True
"ms-clipchamp://","ms-clipchamp","","","","",True
"ms-clock://","ms-clock","C:\Program Files\WindowsApps\Microsoft.WindowsAlarms_1.0.195.0_x64__8wekyb3d8bbwe\Time.exe","Microsoft.WindowsAlarms","ms-resource:AppName/Text","ms-resource:AppDescription",True
"ms-contact-support://","ms-contact-support","C:\Program Files\WindowsApps\Microsoft.GetHelp_10.2407.22431.0_x64__8wekyb3d8bbwe\GetHelp.exe","Microsoft.GetHelp","ms-resource:appDisplayName","ms-resource:appDescription",True
"ms-cortana2://","ms-cortana2","C:\Program Files\WindowsApps\Microsoft.549981C3F5F10_4.2308.1005.0_x64__8wekyb3d8bbwe\Cortana.exe","Microsoft.549981C3F5F10","Cortana","Cortana",True
"ms-crossdevice-files://","ms-crossdevice-files","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.24082.53.0_x64__cw5n1h2txyewy\CrossDeviceFilesHost.exe","MicrosoftWindows.CrossDevice","CrossDevice Files","CrossDevice Files",True
"ms-crossdevice-settings://","ms-crossdevice-settings","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.24082.53.0_x64__cw5n1h2txyewy\CrossDeviceSettingsHost.exe","MicrosoftWindows.CrossDevice","ms-resource://MicrosoftWindows.CrossDevice/SettingsResources/SettingsPageTitle","ms-resource://MicrosoftWindows.CrossDevice/SettingsResources/SettingsPageTitle",True
"ms-crossdevice-share://","ms-crossdevice-share","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.24082.53.0_x64__cw5n1h2txyewy\CrossDeviceShareHost.exe","MicrosoftWindows.CrossDevice","CrossDevice Share","CrossDevice Share",True
"ms-cxh://","ms-cxh","","Microsoft.Windows.CloudExperienceHost","ms-resource:appDisplayName","ms-resource:appDescription",True
