XMLTaskId,ApplicationId,ApplicationName,Name,Page,Command,Keywords
"{8E21794E-9303-44C5-A493-C3DC53C0E463}","{8E908FC9-BECC-40F6-915B-F4CA0E70D03D}","Microsoft.NetworkAndSharingCenter","전화 접속 연결 설정","","%windir%\system32\xwizard.exe RunWizard {7071EC71-663B-4bc1-A1FA-B97F3B917C55}","영역;코드;캐리어;도시;전화 접속;전화 거는 중;전화 걸기;다이얼-업;펄스;톤;터치톤;터치-톤;area;code;carrier;city;up;dialing;dialling;dialup;dial-up;pulse;tone;touchtone;touch-tone;활성화;추가;시작;사용;설치;호출;하기;설정;설정하기;셋업;시작;켬;잠금 해제;세팅;셋팅;activate;add;begin;enable;intsall;invoke;make;up;setting;setup;start;on;turnon;unlock;모뎀;modem;연결;이동;온라인;인트라넷;랜;네트워크;네트워킹;라인;온-라인;connections;go;online;intranet;lan;netowrk;networking;line;on-line;www;구상;구성;구성하다;정의;유지 관리;옵션;개인 설정;사용자 개인 설정;설정하기;설정값;셋업;세팅;confg;configuration;configure;define;management;options;personalise;personalize;up;settings;setup"
"{7A38E74B-40E2-483F-B353-E6E391E54052}","{025A5937-A6BE-4686-A844-36FE4BEC8B6D}","Microsoft.PowerOptions","절전 설정 변경","","control.exe /name Microsoft.PowerOptions","조정;조절;바꿈;변경;편집;수정;바꾸기;다시 설정;설정;전환;스위치;adjust;ajust;alter;change;edit;modify;replace;reset;set;switch;사용자화;사용자 지정;커스텀;개인 설정;사용자 개인 설정;개인화;개인 설정;개인화하기;사용자 개인 설정;customisation;customises;customization;customizes;customizing;personalisation;personalise;personalization;personalize;전지;배터리 수명;수명;에너지;오래사용;지속;더오래;유지 관리;연결;공급;아끼기;절약;절약 모드;모드;언플러그;구성;보존;batteries;battery;life;conserve;energy;last;longer;management;plugged;in;supply;powersaver;preserve;save;mode;saving;unplugged;ups;구상;구성;구성하다;정의;유지 관리;옵션;개인 설정;사용자 개인 설정;설정하기;설정값;셋업;세팅;confg;configuration;configure;define;management;options;personalise;personalize;up;settings;setup"
"{33843DB0-24E7-4682-A019-5393D7F2BFFA}","{725BE8F7-668E-4C7B-8F90-46BDB0936430}","Microsoft.Keyboard","커서 깜박임 속도 변경","","control.exe /name Microsoft.Keyboard","깜박임;깜박임속도;깜박임;속도;blinking;blinkrate;flashing;rate;화살표;커서;마우스;포인터;arrows;cursors;mouse;pointers;보드;보드;키이보드;키브드;키자판;키보드;자판;board;bord;keyboards;keyborads;keybord"
"{36fb1658-3a23-4d62-9bfd-37f4b18a85e9}","{BB64F8A7-BEE7-4E1A-AB8D-7D8273F7FDB6}","Microsoft.ActionCenter","컴퓨터 문제 해결","","control.exe /name Microsoft.ActionCenter","수정;복구;크래시;멈춤;성능;유지 관리;유지 관리;업데이트;문제;보고서;및;fix;repair;crash;hang;performance;maintenance;maintain;problems;reports;and;복구;복구;다시 설치;공장;정리;이미지로 다시 설치;이미지로 재설치;재설치;복원;복구;복귀;다시 설정;지우기;롤백;수정;문제 해결;복구;지우기;포맷;recovery;recover;reinstall;factory;re-image;reimage;re-install;repair;restore;reinstate;reset;wipe;rollback;fix;troubleshoot;pc;refresh;erase;format;메시지;메세지;messages;mesages"
"{1845AA13-3644-4FBC-B766-EEEF29683256}","{BB06C0E4-D293-4F75-8A90-CB05B6477EEE}","Microsoft.System","컴퓨터 이름 바꾸기","","%windir%\system32\SystemPropertiesComputerName.exe","조정;조절;바꿈;변경;편집;수정;바꾸기;다시 설정;설정;전환;스위치;adjust;ajust;alter;change;edit;modify;replace;reset;set;switch;컴퓨터;머신;내 컴퓨터;개인용;시스템;compuer;machine;my;computer;pc;personal;system;이름;이름 바꾸기;이름 변경;names;rename;renaming"
"{231A4A2D-E36A-46CD-84E6-F38551540242}","{BB06C0E4-D293-4F75-8A90-CB05B6477EEE}","Microsoft.System","컴퓨터 이름 보기","","control.exe /name Microsoft.System","이름;이름 바꾸기;이름 변경;names;rename;renaming;컴퓨터;머신;내 컴퓨터;개인용;시스템;compuer;machine;my;computer;pc;personal;system;확인;목록;보기;표시;보는;check;list;see;show;viewing"
"{693E4EF5-9060-469B-AB2E-948B6B68A883}","{D20EA4E1-3957-11D2-A40B-0C5020524153}","Microsoft.AdministrativeTools","컴퓨터 인증서 관리","","%windir%\system32\mmc.exe %windir%\system32\certlm.msc","인증서;키;certificate;key"
"{8902C92D-5AB7-433B-9065-3F55F8334E29}","{58E3C745-D971-4081-9034-86E34B30836A}","Microsoft.SpeechRecognition","컴퓨터가 사용자 음성을 인식하도록 만들기","","%%windir%\system32\rundll32.exe %windir%\system32\speech\speechux\SpeechUX.dll,RunWizard UserTraining","정확도;정확하게;정밀한;정밀도;올바른;실수;accuracy;accurately;precise;precision;correct;mistakes;컴퓨터;머신;내 컴퓨터;개인용;시스템;compuer;machine;my;computer;pc;personal;system;사용자화;사용자 지정;커스텀;개인 설정;사용자 개인 설정;개인화;개인 설정;개인화하기;사용자 개인 설정;customisation;customises;customization;customizes;customizing;personalisation;personalise;personalization;personalize;최고;더 나은;더 쉬운;쉬운;향상;개선;하기;더;가장;최적;최적의;최적화;best;better;easier;easy;enhance;improvement;make;more;most;optimal;optimise;optimize;활성화됨;명령;받아쓰다;받아쓰기;알아봄;인식;인식하다;알아보다;식별;말하기;음성인식;음성-인식;말하기;어려운;이해;음성;보이스;activated;commanding;dictate;dictation;recogination;recognition;recognize;recongition;reconition;speaking;speechrecognition;speech-recognition;talk;to;understand;voice;교육;교육;자습;튜토리얼;teach;training;tutorial"
"{C7C81DAD-835C-45B0-9632-60F3EB5D55AC}","{BB06C0E4-D293-4F75-8A90-CB05B6477EEE}","Microsoft.System","컴퓨터가 속한 도메인 표시","","control.exe /name Microsoft.System","도메인;도매인;domain;domian;자동적;자동표시;자동 표시;나타내기;보기;표시;잠금 해제;보기;언락;automatically;autoshow;auto-show;make;visible;see;show;unlock;view;확인;목록;보기;표시;보는;check;list;see;show;viewing"
"{80A74F0F-B6B6-4314-93AF-98AFDF82A92E}","{025A5937-A6BE-4686-A844-36FE4BEC8B6D}","Microsoft.PowerOptions","컴퓨터가 절전 모드로 전환되는 시기 변경","pagePlanSettings","control.exe /name Microsoft.PowerOptions /page pagePlanSettings","조정;조절;바꿈;변경;편집;수정;바꾸기;다시 설정;설정;전환;스위치;adjust;ajust;alter;change;edit;modify;replace;reset;set;switch;전지;배터리 수명;수명;에너지;오래사용;지속;더오래;유지 관리;연결;공급;아끼기;절약;절약 모드;모드;언플러그;구성;보존;batteries;battery;life;conserve;energy;last;longer;management;plugged;in;supply;powersaver;preserve;save;mode;saving;unplugged;ups;취소;비활성화;삭제;삭제하기;비활성화;비허용;끝내기;제거하기;종료;방지;제거;제거하기;종료;끄기;중지;끄기;끔;cancel;deactivates;delete;deleting;disable;disallow;exit;get;rid;of;prevent;remove;removing;shut;down;off;stop;turn;turnoff;절전 모드;자동 절전 모드 해제;절전 모드 해제;오기;뒤로;절전;전기 절약;절전 모드;다시 시작;재개;절전 모드 중;대기;재개;다시 켜기;깨우기;asleep;autowake;awaken;come;back;from;hibernates;hibernating;hibernation;restarts;resumes;sleeping;standby;up;wakeup;wake-up;waking"
