Protocol,Full URL,Encoding Used,Embedded Variables, Found in File
"windowsdefender","windowsdefender://wdoscan/","Unicode","False","C:\Program Files\WindowsApps\microsoft.sechealthui_1000.22621.2501.0_x64__8wekyb3d8bbwe\SecHealthUIViewModels.dll"
"xbox","xbox://acceptXCloudInvite","Unicode","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\XboxGameBarWidgets.exe"
"xbox","xbox://acceptXCloudInvite?titleId=123","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://accountlinkingcomplete?provider={0}","UTF-8","True","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://accountlinkingcomplete?provider=Twitch","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://accountlinkingcomplete?provider=Twitch&error=bad+request","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://achievements?xuid=2533274985346550&titleid=85494077","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://adventurequiz","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://autostart/","Unicode","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\XboxPcTray.exe"
"xbox","xbox://bespokepublisherpage?siglid=5cdc72a8-bfeb-4c10-bab2-332ffd22bfeb","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://clearFeatureFlags/","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://clearFeatureGateOverrides/","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://config","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://config/?featureGates=serviceTimeout:500","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://config/?flights=customFlight","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://config/?testproducts=product1,product2,product3","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://disablesystray","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://dlc/?productId=9NBLGGH4PBBM&catalogId=2","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://dlc/?productId=9NBLGGH4RWK8","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://dumplog","Unicode","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\XboxPcApp.exe"
"xbox","xbox://ea/","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://eabenefits/","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://editorial?pageId=addOns","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://error","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://gallery/?mediatype=Games&list=New&catalog=gp","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://gallery/?mediatype=Games&list=New&catalog=gp&forceIncludePrice=true","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://game/?productId=9NBLGGH4PBBM","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://game/?productId=9NBLGGH4PBBM&catalogId=2","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"xbox","xbox://game/?source=JumpList&productId=","UTF-8","True","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://game/postinstall/?productId=9NBLGGH4PBBM","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://gamepass/","Unicode","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\XboxPcTray.exe"
"xbox","xbox://gamepass/?source=JumpList","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://gamepass/upsell","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"xbox","xbox://gamestreaming/","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
